trait,gamma,gene,Start (MB),seed1,seed2,seed3,seed4,seed5
alka_phos,1.0,WDR47,109.514051,4.241267370641566e-06,4.05275256598614e-06,4.132356445807339e-06,3.9913030798199856e-06,3.7821661180714727e-06
alka_phos,0.1,DGKD,234.263164,1.788621096010523e-06,1.8177715181977305e-06,1.8052123637035677e-06,1.800494022763388e-06,1.8004645676583664e-06
alka_phos,0.001,DDOST,20.978871,4.181344159803757e-11,4.203482006914783e-11,4.249933738265099e-11,4.21871426681264e-11,4.1487924207217475e-11
alka_phos,1.0,TMEM176A,150.498638,8.167932399105737e-06,7.578122290685663e-06,6.9362032204534074e-06,7.689739867200451e-06,7.603295147040612e-06
alka_phos,1.0,ECI1,2.289979,8.418209699989632e-06,8.451920189056494e-06,8.477479351953754e-06,8.098283280855156e-06,8.418062453663389e-06
alka_phos,0.001,FADS2,61.595862,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,BCAP29,107.221217,1.7396590370477583e-06,1.8498891457552347e-06,2.3138300280223234e-06,1.69534660110493e-06,2.1931688960474816e-06
alka_phos,1.0,LENG1,54.659458,6.872022797477229e-07,6.78942588372422e-07,6.976837436667438e-07,7.549358390646077e-07,9.061842021207411e-07
alka_phos,1.0,MRPL4,10.362929,1.0083232027113809e-08,1.0192548804965895e-08,8.785852489978652e-09,7.711383198660826e-09,1.0145881468304196e-08
alka_phos,0.01,PLA2G6,38.508167,3.865518400925083e-07,3.870589715404549e-07,3.8631394272403696e-07,3.8684162984026216e-07,3.8561161741501593e-07
alka_phos,1.0,UBE2D3,103.718571,1.3014944677536278e-10,1.348622324925941e-10,1.2968737195251379e-10,1.349748091072911e-10,1.282712824846044e-10
alka_phos,10.0,SNRPA,41.257313,1.627541124094023e-08,1.741061816940004e-08,1.6723105122906645e-08,1.7370385130277555e-08,1.5003525977164145e-08
alka_phos,0.1,GCC2,109.06573,4.734121983318573e-10,5.183730111824048e-10,5.176856721078593e-10,5.081561837982917e-10,4.632321193298594e-10
alka_phos,0.1,MAPT,44.039703,4.6056991553911075e-10,4.5845394147647767e-10,4.2687253731799046e-10,5.011602244309188e-10,4.467564096444221e-10
alka_phos,0.1,TSC2,2.098616,1.1534360133680366e-09,1.2316100361786653e-09,1.2534743243364233e-09,1.1641310138088556e-09,1.2046664776832472e-09
alka_phos,0.001,SERPINA1,94.844785,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.1,TNFRSF11A,59.992585,2.1911117364936672e-10,2.1546397999117062e-10,1.9760704184079714e-10,2.3382373814939683e-10,2.2074808647687405e-10
alka_phos,10.0,HSD17B14,49.316431,2.5868196473766147e-13,4.933831121434196e-13,4.75397499144492e-13,3.2163161023390785e-13,5.409006575973763e-13
alka_phos,0.001,PINX1,10.62291,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.1,COG4,70.514912,1.5444045544654728e-06,1.462101003602001e-06,1.4962551497799126e-06,1.2917048219929228e-06,1.7302893906556704e-06
alka_phos,10.0,ZNF189,104.161438,2.5727124874919127e-08,2.3137018301255807e-08,2.121845432689895e-08,2.6608114933601712e-08,2.456806813544432e-08
alka_phos,0.001,WDR81,1.619869,1e-14,1e-14,1e-14,1e-14,1e-14
